City,Country,Latitude,Longitude,Temperature,Wind,Pressure,Humidity,Cloudiness,Date
urrutia,PG,14.7427,-87.0422,23.56,2.48,1013.0,57.0,100.0,1628377515.0
nesbyen,PG,60.5681,9.1027,12.78,1.18,1006.0,98.0,100.0,1628377516.0
alta floresta,PG,-9.8756,-56.0861,26.81,1.77,1011.0,30.0,7.0,1628377519.0
tiarei,PG,-17.5333,-149.3333,29.01,3.86,1017.0,74.0,57.0,1628377520.0
loiza,PG,18.4313,-65.8802,28.16,5.66,1016.0,78.0,40.0,1628377521.0
dunedin,PG,-45.8742,170.5036,6.56,4.42,1008.0,63.0,100.0,1628377523.0
payo,PG,-3.7508,103.6372,22.44,0.9,1012.0,91.0,7.0,1628377524.0
tyup,PG,42.7276,78.3648,13.97,1.76,1015.0,53.0,0.0,1628377525.0
sabla,PG,12.7525,4.7077,27.71,4.68,1012.0,70.0,62.0,1628377527.0
owando,PG,-0.4819,15.8999,22.27,1.43,1015.0,90.0,100.0,1628377528.0
kloulklubed,PG,7.0419,134.2556,26.28,1.31,1012.0,82.0,100.0,1628377529.0
okato,PG,-39.2,173.8833,10.94,8.41,1003.0,87.0,99.0,1628377530.0
lulea,PG,65.5842,22.1547,17.04,4.12,1014.0,67.0,40.0,1628377482.0
nelson bay,PG,-32.7167,152.15,11.76,3.63,1029.0,87.0,82.0,1628377533.0
ust-kuyga,PG,70.0167,135.6,19.73,1.24,1021.0,38.0,63.0,1628377534.0
pisco,PG,-13.7,-76.2167,17.03,8.23,1017.0,77.0,20.0,1628377536.0
teknaf,PG,20.8624,92.3058,25.56,2.88,1007.0,91.0,89.0,1628377537.0
codrington,PG,-38.2667,141.9667,8.02,2.75,1031.0,85.0,26.0,1628377538.0
antofagasta,PG,-23.65,-70.4,14.6,2.2,1019.0,85.0,32.0,1628376842.0
constitucion,PG,-35.3333,-72.4167,10.13,4.91,1019.0,77.0,98.0,1628377256.0
gravdal,PG,68.1214,13.5031,15.01,4.48,1014.0,68.0,100.0,1628377389.0
jizan,PG,17.3333,42.6667,31.35,2.2,1006.0,52.0,73.0,1628377543.0
half moon bay,PG,37.4636,-122.4286,23.87,0.89,1013.0,65.0,20.0,1628377544.0
sungaipenuh,PG,-2.0833,101.3833,17.79,0.95,1014.0,97.0,31.0,1628377545.0
rosarito,PG,32.3333,-117.0333,23.47,3.12,1013.0,67.0,10.0,1628377321.0
vila velha,PG,-20.3297,-40.2925,18.97,2.57,1026.0,94.0,75.0,1628377548.0
vallentuna,PG,59.5344,18.0776,14.72,2.24,1000.0,95.0,75.0,1628377549.0
cikampek,PG,-6.4197,107.4558,24.76,1.43,1012.0,89.0,12.0,1628377550.0
san policarpo,PG,12.1791,125.5072,27.81,2.51,1011.0,77.0,94.0,1628377552.0
puerto escondido,PG,15.85,-97.0667,29.46,5.14,1012.0,65.0,90.0,1628377553.0
faanui,PG,-16.4833,-151.75,25.71,3.48,1016.0,73.0,29.0,1628377554.0
praia,PG,14.9215,-23.5087,26.3,3.09,1015.0,94.0,75.0,1628377556.0
camocim,PG,-2.9022,-40.8411,26.66,6.65,1013.0,71.0,60.0,1628377557.0
port blair,PG,11.6667,92.75,27.6,5.92,1009.0,83.0,100.0,1628377558.0
altamont,PG,42.2068,-121.7372,32.07,2.68,965.0,23.0,1.0,1628377560.0
samandag,PG,36.0842,35.9771,27.29,3.71,1005.0,84.0,36.0,1628377561.0
inhambane,PG,-23.865,35.3833,18.86,2.01,1022.0,88.0,1.0,1628377562.0
kyra,PG,49.5776,111.9753,13.5,1.92,1005.0,88.0,6.0,1628377565.0
bethel,PG,41.3712,-73.414,25.54,3.31,1015.0,73.0,100.0,1628376989.0
ilhabela,PG,-23.7781,-45.3581,19.41,4.66,1023.0,88.0,100.0,1628377567.0
teya,PG,60.3778,92.6267,15.22,0.99,1012.0,72.0,74.0,1628377568.0
dali,PG,25.7,100.1833,18.36,1.74,1008.0,93.0,99.0,1628377570.0
vung tau,PG,10.346,107.0843,26.54,4.34,1009.0,88.0,82.0,1628377571.0
kamenka,PG,51.3223,42.7678,21.71,5.42,1013.0,33.0,91.0,1628377572.0
namibe,PG,-15.1961,12.1522,20.06,0.54,1017.0,86.0,75.0,1628377576.0
rio verde de mato grosso,PG,-18.9181,-54.8442,26.11,2.36,1013.0,26.0,0.0,1628377578.0
oktyabrskoye,PG,43.0645,44.7417,23.08,4.0,1008.0,83.0,92.0,1628377448.0
trenggalek,PG,-8.05,111.7167,23.38,0.42,1014.0,97.0,52.0,1628377581.0
fort payne,PG,34.4442,-85.7197,26.01,2.57,1018.0,46.0,1.0,1628377583.0
kudinovo,PG,54.9994,36.2533,18.03,2.54,1011.0,94.0,100.0,1628377586.0
tuatapere,PG,-46.1333,167.6833,3.23,0.6,1008.0,93.0,100.0,1628377587.0
the valley,PG,18.217,-63.0578,27.08,2.57,1016.0,78.0,40.0,1628377588.0
kupang,PG,-10.1667,123.5833,23.32,8.75,1016.0,78.0,20.0,1628377590.0
brae,PG,60.3964,-1.353,13.95,8.27,1000.0,92.0,100.0,1628377591.0
ous,PG,60.9058,61.5186,13.62,4.2,1014.0,98.0,100.0,1628377592.0
whitehorse,PG,60.7161,-135.0538,21.72,2.5,1006.0,56.0,72.0,1628377296.0
voznesenskoye,PG,54.89,42.7569,18.39,3.0,1016.0,59.0,43.0,1628377597.0
yulara,PG,-25.2406,130.9889,8.91,2.57,1027.0,49.0,0.0,1628377598.0
ribeira grande,PG,38.5167,-28.7,20.88,5.68,1028.0,70.0,19.0,1628377600.0
launceston,PG,-41.45,147.1667,3.77,1.54,1032.0,87.0,90.0,1628377601.0
waipawa,PG,-41.4122,175.5153,7.51,5.64,1000.0,72.0,100.0,1628377602.0
northam,PG,51.0333,-4.2167,15.12,9.18,1003.0,91.0,29.0,1628377604.0
douentza,PG,14.9951,-2.9517,30.06,3.93,1012.0,55.0,76.0,1628377605.0
le port,PG,-20.9373,55.2919,20.94,4.07,1020.0,70.0,23.0,1628377606.0
espanola,PG,35.9911,-106.0806,32.13,7.93,1008.0,13.0,13.0,1628377351.0
povorino,PG,51.1945,42.2457,22.46,4.91,1012.0,33.0,93.0,1628377612.0
kuching,PG,1.55,110.3333,25.12,2.57,1011.0,94.0,40.0,1628377613.0
imbituba,PG,-28.24,-48.6703,16.52,5.08,1022.0,94.0,87.0,1628377318.0
jieshou,PG,33.2634,115.3611,25.31,2.08,1005.0,91.0,9.0,1628377616.0
bilma,PG,18.6853,12.9164,35.03,4.74,1007.0,27.0,95.0,1628377617.0
montecristo,PG,8.2971,-74.4733,26.0,0.59,1010.0,95.0,54.0,1628377618.0
boyabat,PG,41.4689,34.7667,19.03,1.7,1011.0,84.0,94.0,1628377621.0
mantua,PG,45.1667,10.7833,23.05,1.34,1006.0,81.0,55.0,1628377622.0
saint-georges,PG,12.0564,-61.7485,26.86,3.85,1013.0,75.0,9.0,1628377437.0
port lincoln,PG,-34.7333,135.8667,11.1,4.61,1028.0,73.0,1.0,1628377624.0
ustka,PG,54.5805,16.8619,18.49,3.55,1006.0,67.0,100.0,1628377626.0
uchiza,PG,-8.4592,-76.4633,24.77,1.41,1013.0,68.0,31.0,1628377627.0
yarada,PG,17.65,83.2667,28.18,1.03,1005.0,89.0,40.0,1628377622.0
flinders,PG,-34.5833,150.8552,12.79,1.34,1027.0,85.0,73.0,1628377630.0
hamilton,PG,39.1834,-84.5333,28.56,0.45,1016.0,56.0,1.0,1628377631.0
port hardy,PG,50.6996,-127.4199,15.28,4.18,1013.0,88.0,77.0,1628377632.0
geraldton,PG,-28.7667,114.6,17.23,4.12,1014.0,94.0,90.0,1628377456.0
grindavik,PG,63.8424,-22.4338,11.26,2.57,1008.0,93.0,40.0,1628377635.0
dzierzoniow,PG,50.7282,16.6514,18.8,2.48,1005.0,91.0,80.0,1628377636.0
ternate,PG,0.8,127.4,25.03,2.88,1013.0,89.0,100.0,1628377637.0
cabedelo,PG,-6.9811,-34.8339,22.37,8.6,1018.0,83.0,54.0,1628377639.0
athabasca,PG,54.7169,-113.2854,20.98,3.53,1000.0,41.0,84.0,1628377640.0
shimoda,PG,34.6667,138.95,26.06,8.57,998.0,87.0,100.0,1628377641.0
wencheng,PG,33.0559,113.7978,25.24,1.07,1005.0,88.0,20.0,1628377642.0
talnakh,PG,69.4865,88.3972,14.43,1.12,1011.0,57.0,44.0,1628377644.0
ikeda,PG,34.8221,135.4298,28.84,1.64,1004.0,62.0,0.0,1628377645.0
corni,PG,47.65,26.5833,18.84,1.03,1015.0,77.0,0.0,1628377646.0
taunggyi,PG,20.7833,97.0333,16.01,1.69,1010.0,98.0,64.0,1628377648.0
bakaly,PG,55.1789,53.8028,13.45,1.44,1020.0,82.0,69.0,1628377649.0
broome,PG,42.2506,-75.833,24.02,0.89,996.0,86.0,40.0,1628377650.0
ostrovnoy,PG,68.0531,39.5131,12.33,4.44,1024.0,81.0,6.0,1628377652.0
tessalit,PG,20.1986,1.0114,31.52,9.77,1007.0,37.0,55.0,1628377653.0
kisangani,PG,0.5167,25.2,20.54,1.07,1014.0,93.0,86.0,1628377654.0
daulatpur,PG,26.5015,67.9706,26.94,4.74,999.0,60.0,75.0,1628377656.0
dukat,PG,62.55,155.55,10.15,3.07,1024.0,80.0,100.0,1628377657.0
saint-pierre,PG,-21.3393,55.4781,19.72,3.6,1019.0,66.0,20.0,1628377658.0
vynohradivka,PG,45.6812,28.5714,16.11,2.2,1015.0,55.0,0.0,1628377659.0
valparaiso,PG,-33.0393,-71.6273,11.8,1.54,1018.0,71.0,75.0,1628377661.0
port macquarie,PG,-31.4333,152.9167,13.98,4.05,1030.0,77.0,50.0,1628377541.0
vanavara,PG,60.34,102.2797,12.75,1.72,1011.0,64.0,20.0,1628377663.0
zeya,PG,53.75,127.2667,14.34,1.76,1015.0,87.0,100.0,1628377665.0
fort nelson,PG,58.8053,-122.7002,8.83,5.02,1010.0,98.0,100.0,1628377666.0
wurzburg,PG,49.7878,9.9361,15.41,4.47,1009.0,95.0,67.0,1628377667.0
placer,PG,39.0666,-120.7677,30.12,1.34,1016.0,24.0,0.0,1628377669.0
marzuq,PG,14.4,46.4667,29.71,1.18,1008.0,35.0,98.0,1628377670.0
kilindoni,PG,-7.9139,39.6668,23.87,4.21,1016.0,75.0,1.0,1628377671.0
san patricio,PG,28.017,-97.5169,32.35,7.43,1013.0,56.0,0.0,1628377672.0
teguldet,PG,57.3064,88.1667,14.34,1.24,1012.0,96.0,60.0,1628377674.0
moss point,PG,30.4116,-88.5345,31.19,1.54,1017.0,64.0,1.0,1628377675.0
beira,PG,-19.8436,34.8389,19.65,2.1,1021.0,85.0,0.0,1628377676.0
vestmanna,PG,62.1564,-7.1664,13.51,5.66,1002.0,82.0,20.0,1628377678.0
pfullendorf,PG,47.9167,9.25,13.04,2.41,1013.0,98.0,99.0,1628377679.0
tezu,PG,27.9167,96.1667,25.15,0.81,1006.0,99.0,100.0,1628377680.0
camacha,PG,33.0833,-16.3333,20.67,1.54,1021.0,78.0,75.0,1628377682.0
hirara,PG,24.8,125.2833,28.15,7.72,1001.0,94.0,75.0,1628377683.0
victoria,PG,22.2855,114.1577,28.88,3.09,1004.0,91.0,94.0,1628377465.0
zaranj,PG,30.9667,61.8833,31.37,8.47,1000.0,15.0,0.0,1628377685.0
peniche,PG,39.3558,-9.3811,17.89,7.49,1017.0,86.0,5.0,1628377687.0
altay,PG,47.8667,88.1167,15.11,1.8,1011.0,53.0,56.0,1628377688.0
togur,PG,58.3631,82.8265,14.61,2.07,1011.0,94.0,93.0,1628377689.0
barstow,PG,34.8986,-117.0228,39.05,5.69,1008.0,7.0,0.0,1628377596.0
domoni,PG,-12.2569,44.5319,23.27,0.98,1017.0,66.0,0.0,1628377692.0
lysychovo,PG,48.4968,23.2899,15.77,1.97,1015.0,74.0,42.0,1628377693.0
bonfim,PG,3.0833,-59.95,25.8,2.15,1012.0,81.0,99.0,1628377694.0
borogontsy,PG,62.6683,131.1683,17.77,5.6,1020.0,41.0,0.0,1628377696.0
nantai,PG,40.9241,122.8044,23.64,1.76,1006.0,77.0,12.0,1628377697.0
belmonte,PG,-15.8631,-38.8828,21.28,4.67,1024.0,80.0,44.0,1628377698.0
vostok,PG,46.4856,135.8833,13.81,2.5,1010.0,98.0,100.0,1628377700.0
dobele,PG,56.625,23.2786,15.75,2.99,1008.0,97.0,63.0,1628377701.0
monrovia,PG,6.3005,-10.7969,25.08,4.07,1017.0,78.0,30.0,1628377702.0
sambava,PG,-14.2667,50.1667,20.15,3.68,1018.0,88.0,59.0,1628377704.0
salalah,PG,17.0151,54.0924,25.05,3.09,1004.0,94.0,90.0,1628377705.0
novikovo,PG,51.1537,37.8879,21.46,2.22,1010.0,51.0,100.0,1628377706.0
kourou,PG,5.1552,-52.6478,28.39,2.07,1013.0,88.0,88.0,1628377708.0
biak,PG,-0.9131,122.8766,24.35,3.48,1013.0,87.0,98.0,1628377710.0
morehead,PG,37.2711,-87.1764,30.54,2.06,1025.0,53.0,75.0,1628377711.0
ivaipora,PG,-24.2478,-51.6847,16.96,2.55,1019.0,65.0,51.0,1628377713.0
sawakin,PG,19.1059,37.3321,33.98,2.73,1007.0,47.0,16.0,1628377714.0
mansfield,PG,53.1333,-1.2,14.82,2.24,995.0,92.0,99.0,1628377505.0
venado tuerto,PG,-33.7456,-61.9688,16.54,0.59,1012.0,49.0,5.0,1628377716.0
nemuro,PG,43.3236,145.575,19.39,6.0,1010.0,97.0,71.0,1628377718.0
san rafael,PG,-34.6177,-68.3301,12.28,4.72,1018.0,38.0,10.0,1628377657.0
makat,PG,47.6469,53.3463,26.65,5.18,1013.0,30.0,0.0,1628377720.0
komsomolskiy,PG,40.4272,71.7189,24.4,1.03,1009.0,41.0,86.0,1628377721.0
chodavaram,PG,17.8333,82.95,27.91,1.07,1005.0,78.0,100.0,1628377723.0
aripuana,PG,-9.1667,-60.6333,26.85,0.52,1010.0,35.0,8.0,1628377508.0
santa cruz,PG,-17.8,-63.1667,28.78,6.3,1008.0,27.0,24.0,1628377726.0
harper,PG,4.375,-7.7169,24.78,4.16,1017.0,80.0,72.0,1628377728.0
behshahr,PG,36.6923,53.5526,29.3,1.97,1006.0,40.0,4.0,1628377729.0
cavalcante,PG,-13.7975,-47.4583,20.24,2.63,1019.0,43.0,98.0,1628377730.0
los llanos de aridane,PG,28.6585,-17.9182,20.07,5.14,1019.0,93.0,0.0,1628377641.0
erzin,PG,36.9559,36.2,26.4,1.96,1005.0,81.0,3.0,1628377733.0
thunder bay,PG,48.4001,-89.3168,18.97,1.34,1010.0,67.0,99.0,1628377734.0
vermillion,PG,42.7794,-96.9292,31.06,7.42,1001.0,25.0,60.0,1628377735.0
cairns,PG,-16.9167,145.7667,22.12,5.66,1019.0,87.0,40.0,1628377737.0
saskylakh,PG,71.9167,114.0833,11.58,3.36,1019.0,73.0,100.0,1628377738.0
luba,PG,3.4568,8.5547,24.8,1.97,1017.0,82.0,99.0,1628377739.0
zatoka,PG,46.0725,30.4654,17.3,6.74,1014.0,64.0,0.0,1628377742.0
oranjemund,PG,-28.55,16.4333,15.21,2.51,1018.0,56.0,17.0,1628377743.0
guthrie,PG,35.8789,-97.4253,33.84,6.17,1011.0,55.0,71.0,1628377708.0
gberia fotombu,PG,9.8833,-11.1667,20.43,1.36,1017.0,91.0,54.0,1628377745.0
merauke,PG,-8.4667,140.3333,25.02,5.87,1015.0,74.0,62.0,1628377747.0
wakkanai,PG,45.4094,141.6739,18.13,14.22,1010.0,92.0,100.0,1628377748.0
west plains,PG,36.7281,-91.8524,30.47,0.45,1015.0,57.0,46.0,1628377749.0
deputatskiy,PG,69.3,139.9,13.71,2.06,1024.0,59.0,80.0,1628377751.0
maykor,PG,59.0059,55.88,8.36,2.87,1020.0,92.0,3.0,1628377752.0
kawalu,PG,-7.3817,108.2082,21.87,0.65,1013.0,97.0,43.0,1628377753.0
caluquembe,PG,-13.7833,14.6833,14.11,0.74,1019.0,31.0,1.0,1628377755.0
troitsko-pechorsk,PG,62.7084,56.1964,10.52,3.79,1020.0,88.0,99.0,1628377756.0
asau,PG,46.4333,26.4,15.53,1.53,1015.0,90.0,1.0,1628377757.0
point pedro,PG,9.8167,80.2333,27.74,5.11,1007.0,79.0,84.0,1628377759.0
ryotsu,PG,38.0833,138.4333,29.25,1.15,1003.0,73.0,61.0,1628377761.0
amahai,PG,-3.3333,128.9167,24.9,0.84,1014.0,89.0,100.0,1628377762.0
lima,PG,-12.0432,-77.0282,16.14,6.17,1016.0,77.0,90.0,1628377587.0
havoysund,PG,70.9963,24.6622,16.49,2.99,1018.0,75.0,70.0,1628377765.0
albox,PG,37.3886,-2.1495,25.82,9.83,1012.0,28.0,0.0,1628377766.0
cayenne,PG,4.9333,-52.3333,28.38,1.34,1012.0,82.0,0.0,1628377768.0
aldama,PG,22.9167,-98.0667,31.31,5.5,1013.0,57.0,61.0,1628377769.0
bergama,PG,39.1207,27.1805,22.62,2.59,1013.0,67.0,0.0,1628377770.0
arlit,PG,18.7369,7.3853,37.69,2.78,1006.0,16.0,59.0,1628377772.0
pekan,PG,3.4836,103.3996,25.8,0.01,1011.0,86.0,51.0,1628377773.0
latung,PG,5.5,120.8833,26.99,7.09,1013.0,78.0,100.0,1628377774.0
salvador,PG,13.8333,-88.9167,29.02,1.61,1012.0,85.0,59.0,1628377777.0
noumea,PG,-22.2763,166.4572,17.99,2.25,1022.0,61.0,96.0,1628377154.0
jalu,PG,29.0331,21.5482,30.34,4.74,1010.0,33.0,0.0,1628377780.0
felsoszentivan,PG,46.1971,19.1869,21.31,4.49,1010.0,42.0,2.0,1628377782.0
burnie,PG,-41.0667,145.9167,7.73,2.96,1032.0,79.0,100.0,1628377783.0
vytegra,PG,61.0064,36.4481,15.8,6.28,1013.0,96.0,100.0,1628377784.0
mulege,PG,26.8833,-111.9833,32.91,4.29,1010.0,51.0,39.0,1628377786.0
ler,PG,8.3018,30.1418,20.42,1.43,1014.0,95.0,100.0,1628377787.0
maragogi,PG,-9.0122,-35.2225,23.29,7.35,1019.0,74.0,82.0,1628377788.0
talgar,PG,43.3027,77.2395,17.09,3.0,1010.0,45.0,20.0,1628377789.0
kisesa,PG,-3.0833,34.15,19.81,3.87,1013.0,51.0,9.0,1628377791.0
ridgecrest,PG,35.6225,-117.6709,40.57,0.45,1007.0,3.0,40.0,1628377792.0
kapuskasing,PG,49.4169,-82.4331,20.23,1.95,1017.0,48.0,4.0,1628377557.0
luwuk,PG,-0.9516,122.7875,25.17,2.76,1014.0,90.0,96.0,1628377796.0
morant bay,PG,17.8815,-76.4093,28.01,3.94,1015.0,75.0,2.0,1628377797.0
dickinson,PG,29.4608,-95.0513,32.19,0.45,1015.0,66.0,40.0,1628377589.0
salinopolis,PG,-0.6136,-47.3561,26.17,5.14,1013.0,81.0,34.0,1628377523.0
taoudenni,PG,22.6783,-3.9836,39.57,4.23,1004.0,10.0,2.0,1628377802.0
biggar,PG,55.6167,-3.5167,13.82,0.83,993.0,95.0,96.0,1628377803.0
revelstoke,PG,50.9832,-118.2023,17.01,0.0,1010.0,82.0,75.0,1628377804.0
vanimo,PG,-2.6741,141.3028,27.3,2.03,1013.0,75.0,82.0,1628377806.0
marrakesh,PG,31.6315,-8.0083,24.04,3.09,1016.0,64.0,0.0,1628377686.0
mirnyy,PG,62.5353,113.9611,14.75,3.08,1006.0,89.0,100.0,1628377808.0
rawson,PG,-43.3002,-65.1023,10.79,8.81,1016.0,41.0,10.0,1628377811.0
vitoria da conquista,PG,-14.8661,-40.8394,15.18,5.2,1024.0,69.0,56.0,1628377812.0
walvis bay,PG,-22.9575,14.5053,11.16,1.28,1018.0,66.0,3.0,1628377813.0
ust-ilimsk,PG,58.0006,102.6619,13.93,0.8,1011.0,55.0,27.0,1628377633.0
broken hill,PG,-31.95,141.4333,9.74,3.56,1031.0,62.0,0.0,1628377816.0
omsukchan,PG,62.5333,155.8,11.07,3.05,1024.0,79.0,100.0,1628377817.0
khash,PG,28.2211,61.2158,25.46,1.12,1006.0,15.0,5.0,1628377820.0
caravelas,PG,-17.7125,-39.2481,20.15,3.76,1025.0,80.0,100.0,1628377821.0
miahuatlan,PG,18.5667,-97.4333,21.29,5.52,1014.0,52.0,83.0,1628377822.0
riyadh,PG,24.6877,46.7219,33.08,3.3,1003.0,15.0,32.0,1628377538.0
bundaberg,PG,-24.85,152.35,17.16,3.6,1026.0,51.0,0.0,1628377825.0
canakkale,PG,40.0833,26.8333,18.32,1.08,1014.0,80.0,0.0,1628377826.0
lincoln,PG,40.8,-96.667,31.9,5.66,1008.0,55.0,1.0,1628377797.0
alyangula,PG,-13.8483,136.4192,22.98,5.7,1018.0,55.0,9.0,1628377828.0
chernyshevskiy,PG,63.0128,112.4714,14.07,0.53,1007.0,88.0,100.0,1628377830.0
midyat,PG,37.4247,41.3393,19.4,2.57,1005.0,26.0,62.0,1628377832.0
rio gallegos,PG,-51.6226,-69.2181,2.03,9.77,1005.0,75.0,0.0,1628377835.0
turayf,PG,31.6725,38.6637,27.71,3.49,1007.0,24.0,0.0,1628377836.0
voloshka,PG,61.3314,40.0858,14.44,4.79,1018.0,82.0,100.0,1628377837.0
sosva,PG,59.1766,61.8558,12.1,3.74,1012.0,98.0,100.0,1628377839.0
wajir,PG,1.7471,40.0573,23.76,7.52,1014.0,61.0,56.0,1628377841.0
revuca,PG,48.6835,20.1173,17.48,0.42,1012.0,85.0,38.0,1628377842.0
kalmunai,PG,7.4167,81.8167,25.38,2.67,1008.0,88.0,100.0,1628377844.0
batemans bay,PG,-35.7167,150.1833,12.2,2.27,1033.0,68.0,95.0,1628377805.0
dharchula,PG,29.85,80.5333,22.58,0.82,1009.0,91.0,96.0,1628377846.0
flin flon,PG,54.7682,-101.865,21.8,4.01,999.0,71.0,100.0,1628377847.0
ixtapa,PG,20.7,-105.2,29.57,4.63,1011.0,74.0,75.0,1628377849.0
sao joao da barra,PG,-21.6403,-41.0511,20.12,6.15,1026.0,78.0,77.0,1628377850.0
alice springs,PG,-23.7,133.8833,7.75,2.06,1027.0,46.0,0.0,1628377851.0
lamar,PG,33.6668,-95.5836,33.34,7.2,1014.0,56.0,20.0,1628377853.0
kangaatsiaq,PG,68.3065,-53.4641,4.98,4.3,998.0,92.0,100.0,1628377854.0
benguela,PG,-12.5763,13.4055,22.03,0.52,1016.0,84.0,70.0,1628377855.0
ocampo,PG,21.65,-101.5,22.53,4.91,1013.0,39.0,21.0,1628377859.0
mabaruma,PG,8.2,-59.7833,24.36,1.37,1012.0,90.0,96.0,1628377860.0
bekhtery,PG,46.251,32.2927,21.32,6.63,1012.0,59.0,85.0,1628377815.0
mocuba,PG,-16.8392,36.9856,16.87,1.01,1021.0,95.0,0.0,1628377863.0
hindoria,PG,23.9,79.5667,23.57,3.53,1003.0,92.0,93.0,1628377864.0
natal,PG,-5.795,-35.2094,24.36,5.14,1017.0,78.0,0.0,1628377757.0
samarai,PG,-10.6167,150.6667,25.61,6.53,1016.0,85.0,88.0,1628377866.0
